,Name,Artist,Features,Streams,Week
0,In My Feelings,Drake,,30747676,7/20/2018
1,Lucid Dreams,Juice WRLD,,12930705,7/20/2018
2,Nonstop,Drake,,12312859,7/20/2018
3,God is a woman,Ariana Grande,,10771324,7/20/2018
4,SAD!,XXXTENTACION,,10503061,7/20/2018
5,Taste ,Tyga,Offset,9777479,7/20/2018
6,Don't Matter To Me,Drake,,9769263,7/20/2018
7,I Like It,Cardi B,,9278476,7/20/2018
8,Moonlight,XXXTENTACION,,8544143,7/20/2018
9,Girls Like You ,Maroon 5,Cardi B,8257586,7/20/2018
10,Nice For What,Drake,,8193242,7/20/2018
11,Better Now,Post Malone,,7877292,7/20/2018
12,Summertime Magic,Childish Gambino,,7519515,7/20/2018
13,Yes Indeed,"Lil Baby, Drake",,7436762,7/20/2018
14,I'm Upset,Drake,,7313974,7/20/2018
15,God's Plan,Drake,,6886838,7/20/2018
16,Mob Ties,Drake,,6010125,7/20/2018
17,Jackie Chan,"Tiesto, Dzeko",,5589022,7/20/2018
18,Youngblood,5 Seconds of Summer,,5476526,7/20/2018
19,Psycho ,Post Malone,Ty Dolla $ign,5461822,7/20/2018
20,Eastside,"benny blanco, Halsey, Khalid",,5325080,7/20/2018
21,Ocean ,Martin Garrix,Khalid,5277329,7/20/2018
22,Jocelyn Flores,XXXTENTACION,,5145261,7/20/2018
23,All Girls Are The Same,Juice WRLD,,5073925,7/20/2018
24,changes,XXXTENTACION,,5023686,7/20/2018
25,APESHIT,The Carters,,4830730,7/20/2018
26,Look Alive ,BlocBoy JB,Drake,4826668,7/20/2018
27,Boo'd Up,Ella Mai,,4748460,7/20/2018
28,no tears left to cry,Ariana Grande,,4509464,7/20/2018
29,Bed ,Nicki Minaj,Ariana Grande,4444780,7/20/2018
30,Fuck Love ,XXXTENTACION,Trippie Redd,4353823,7/20/2018
31,All Mine,Kanye West,,4347034,7/20/2018
32,Wasted ,Juice WRLD,Lil Uzi Vert,4274567,7/20/2018
33,rockstar ,Post Malone,21 Savage,4206779,7/20/2018
34,Back To You,Selena Gomez,,4172502,7/20/2018
35,Emotionless,Drake,,4156072,7/20/2018
36,Hopeless Romantic ,Wiz Khalifa,Swae Lee,4128303,7/20/2018
37,Praise The Lord,A$AP Rocky,Skepta,4095518,7/20/2018
38,One Kiss ,"Calvin Harris, Dua Lipa",,3965186,7/20/2018
39,Can't Take A Joke,Drake,,3811354,7/20/2018
40,Elevate,Drake,,3793839,7/20/2018
41,Solo ,Clean Bandit,Demi Lovato,3679662,7/20/2018
42,Big Bank,YG,,3663897,7/20/2018
43,Ball For Me ,Post Malone,Nicki Minaj,3631354,7/20/2018
44,lovely ,"Billie Eilish, Khalid",,3597219,7/20/2018
45,Body,Loud Luxury,,3551924,7/20/2018
46,Plug Walk,Rich The Kid,,3444255,7/20/2018
47,Fr Fr ,Wiz Khalifa,Lil Skies,3377195,7/20/2018
48,Te Boté - Remix,Nio Garcia,,3376696,7/20/2018
49,Everybody Dies In Their Nightmares,XXXTENTACION,,3345149,7/20/2018
50,Jumpsuit,Twenty One Pilots,,3331795,7/20/2018
51,Nico And The Niners,Twenty One Pilots,,3303854,7/20/2018
52,This Is America,Childish Gambino,,3272902,7/20/2018
53,I Fall Apart,Post Malone,,3197985,7/20/2018
54,Ric Flair Drip,"Offset, Metro Boomin",,3193619,7/20/2018
55,High Hopes,Panic! At The Disco,,3191507,7/20/2018
56,Rise,Jonas Blue,,3140668,7/20/2018
57,Walk It Talk It,Migos,,3116492,7/20/2018
58,Born To Be Yours,Kygo,,3103625,7/20/2018
59,Blue Tint,Drake,,3026331,7/20/2018
60,JAPAN,Famous Dex,,3003638,7/20/2018
61,Mine,Bazzi,,2939370,7/20/2018
62,Love Lies,"Khalid, Normani",,2922914,7/20/2018
63,Meant to Be,"Bebe Rexha, Florida Georgia Line",Florida Georgia Line,2908737,7/20/2018
64,the remedy for a broken heart (why am I so in love),XXXTENTACION,,2899854,7/20/2018
65,OTW,Khalid,,2846106,7/20/2018
66,Powerglide,"Rae Sremmurd, Juicy J",Juicy J,2745376,7/20/2018
67,Tequila,Dan + Shay,,2724203,7/20/2018
68,Simple,Florida Georgia Line,,2718285,7/20/2018
69,Hope,XXXTENTACION,,2702252,7/20/2018
70,Bigger Than You ,2 Chainz,"Drake, Quavo",2695149,7/20/2018
71,Look At Me!,XXXTENTACION,,2693564,7/20/2018
72,8 Out Of 10,Drake,,2690171,7/20/2018
73,Candy Paint,Post Malone,,2677449,7/20/2018
74,After Dark,Drake,,2671729,7/20/2018
75,Playinwitme ,KYLE,Kehlani,2666719,7/20/2018
76,Survival,Drake,,2661489,7/20/2018
77,Summer Games,Drake,,2586371,7/20/2018
78,The Middle,"Zedd, Maren Morris, Grey",,2585552,7/20/2018
79,XO TOUR Llif3,Lil Uzi Vert,,2574762,7/20/2018
80,Talk Up,Drake,,2533690,7/20/2018
81,ocean eyes,Billie Eilish,,2516951,7/20/2018
82,Feels Like Summer,Childish Gambino,,2472681,7/20/2018
83,Sandra's Rose,Drake,,2453859,7/20/2018
84,That's How You Feel,Drake,,2453421,7/20/2018
85,Legends,Juice WRLD,,2427341,7/20/2018
86,Shoota ,Playboi Carti,Lil Uzi Vert,2375556,7/20/2018
87,X,"Nicky Jam, J Balvin",,2353737,7/20/2018
88,Lie,NF,,2313059,7/20/2018
89,Lust,Lil Skies,,2303397,7/20/2018
90,Champion ,NAV,Travis Scott,2297827,7/20/2018
91,Finesse,Drake,,2281272,7/20/2018
92,Drug Addicts,Lil Pump,,2245011,7/20/2018
93,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake",,2225221,7/20/2018
94,Jaded,Drake,,2219760,7/20/2018
95,WIFI LIT,Future,,2215206,7/20/2018
96,Better Not ,Louis The Child,Wafia,2212471,7/20/2018
97,Red Roses ,Lil Skies,Landon Cube,2211452,7/20/2018
98,Lean Wit Me,Juice WRLD,,2197109,7/20/2018
99,Call Out My Name,The Weeknd,,2186630,7/20/2018
100,Yikes,Kanye West,,2184125,7/20/2018
101,Freaky Friday ,Lil Dicky,Chris Brown,2168567,7/20/2018
102,Stay,Post Malone,,2166509,7/20/2018
103,Spoil My Night ,Post Malone,Swae Lee,2165472,7/20/2018
104,New Light,John Mayer,,2154658,7/20/2018
105,Paranoid,Post Malone,,2142698,7/20/2018
106,Real Rich ,Wiz Khalifa,Gucci Mane,2124286,7/20/2018
107,Narcos,Migos,,2119793,7/20/2018
108,Congratulations,Post Malone,,2119606,7/20/2018
109,PICK IT UP ,Famous Dex,A$AP Rocky,2115042,7/20/2018
110,HUMBLE.,Kendrick Lamar,,2111262,7/20/2018
111,I'm a Mess,Bebe Rexha,,2110740,7/20/2018
112,Rich & Sad,Post Malone,,2109492,7/20/2018
113,Nevermind,Dennis Lloyd,,2096324,7/20/2018
114,Sin Pijama,Becky G,,2090623,7/20/2018
115,FRIENDS,"Marshmello, Anne",,2085167,7/20/2018
116,Life Goes On,Lil Baby,,2081614,7/20/2018
117,Nowadays ,Lil Skies,Landon Cube,2078798,7/20/2018
118,Stir Fry,Migos,,2073993,7/20/2018
119,All The Stars,"Kendrick Lamar, SZA",,2071249,7/20/2018
120,NUMB,XXXTENTACION,,2037581,7/20/2018
121,TATI,6ix9ine,,2024337,7/20/2018
122,Roll In Peace ,Kodak Black,XXXTENTACION,2013450,7/20/2018
123,Watch ,Travis Scott,"Lil Uzi Vert, Kanye West",2007394,7/20/2018
124,Heaven,Kane Brown,,1988314,7/20/2018
125,goosebumps,Travis Scott,,1975717,7/20/2018
126,Thunder,Imagine Dragons,,1957374,7/20/2018
127,Havana ,Camila Cabello,Young Thug,1928726,7/20/2018
128,Hot Now,Wiz Khalifa,,1918841,7/20/2018
129,Peak,Drake,,1895004,7/20/2018
130,KOD,J. Cole,,1892443,7/20/2018
131,Young Dumb & Broke,Khalid,,1890253,7/20/2018
132,Enemies,Lauv,,1880850,7/20/2018
133,92 Explorer,Post Malone,,1871160,7/20/2018
134,Bank Account,21 Savage,,1868652,7/20/2018
135,Location,Khalid,,1850645,7/20/2018
136,Who Want The Smoke?,Lil Yachty,,1843143,7/20/2018
137,Be Careful,Cardi B,,1827223,7/20/2018
138,2002,Anne-Marie,,1825009,7/20/2018
139,Esskeetit,Lil Pump,,1824356,7/20/2018
140,Bodak Yellow,Cardi B,,1824115,7/20/2018
141,Believer,Imagine Dragons,,1822850,7/20/2018
142,I Know You ,Lil Skies,Yung Pinch,1804130,7/20/2018
143,Plain Jane,A$AP Ferg,,1788268,7/20/2018
144,Betrayed,Lil Xan,,1785763,7/20/2018
145,Is There More,Drake,,1773708,7/20/2018
146,Connection,OneRepublic,,1769458,7/20/2018
147,Bounce Out With That,YBN Nahmir,,1754975,7/20/2018
148,Reborn,KIDS SEE GHOSTS,,1750632,7/20/2018
149,Self Care,Mac Miller,,1733598,7/20/2018
150,Ratchet Happy Birthday,Drake,,1725991,7/20/2018
151,Millidelphia ,Meek Mill,Swizz Beatz,1719984,7/20/2018
152,Creeping ,Lil Skies,Rich the Kid,1708944,7/20/2018
153,1942,G-Eazy,,1706975,7/20/2018
154,Guatemala,Rae Sremmurd,,1705301,7/20/2018
155,Outside Today,YoungBoy Never Broke Again,,1702127,7/20/2018
156,I Like Me Better,Lauv,,1689611,7/20/2018
157,1-800-273-8255,Logic,,1677882,7/20/2018
158,You Make It Easy,Jason Aldean,,1668687,7/20/2018
159,If You're Over Me,"Years, Years",,1664340,7/20/2018
160,LOVE,Kendrick Lamar,,1656220,7/20/2018
161,In My Blood,Shawn Mendes,,1655610,7/20/2018
162,BUTTERFLY EFFECT,Travis Scott,,1652040,7/20/2018
163,Shape of You,Ed Sheeran,,1644696,7/20/2018
164,No Es Justo,J Balvin,,1643634,7/20/2018
165,No Limit,G-Eazy,,1631857,7/20/2018
166,Final Fantasy,Drake,,1630644,7/20/2018
167,Africa,Toto,,1610784,7/20/2018
168,Let You Down,NF,,1610492,7/20/2018
169,Unforgettable,French Montana,,1605400,7/20/2018
170,New Freezer ,Rich The Kid,Kendrick Lamar,1599879,7/20/2018
171,Like To Be You feat. Julia Michaels,Shawn Mendes,,1597790,7/20/2018
172,New Rules,Dua Lipa,,1594090,7/20/2018
173,Only You ,"Cheat Codes, Little Mix, Little Mix",,1577548,7/20/2018
174,Jump ,"Julia Michaels, Trippie Redd, Trippie Redd",,1571422,7/20/2018
175,Everyday,"Logic, Marshmello",,1571232,7/20/2018
176,Delicate,Taylor Swift,,1562105,7/20/2018
177,Audio,Sia,,1550378,7/20/2018
178,Beautiful Crazy,Luke Combs,,1549970,7/20/2018
179,14-Mar,Drake,,1548946,7/20/2018
180,Ned Flanders ,MadeinTYO,A$AP Ferg,1546170,7/20/2018
181,IDGAF,Dua Lipa,,1545674,7/20/2018
182,Black & White,Juice WRLD,,1544107,7/20/2018
183,Redbone,Childish Gambino,,1541058,7/20/2018
184,Perfect,Ed Sheeran,,1540804,7/20/2018
185,Over Now,Post Malone,,1536200,7/20/2018
186,Bartier Cardi ,Cardi B,21 Savage,1535050,7/20/2018
187,Revenge,XXXTENTACION,,1533947,7/20/2018
188,Never Be the Same,Camila Cabello,,1529690,7/20/2018
189,MotorSport,Migos,,1528444,7/20/2018
190,idontwannabeyouanymore,Billie Eilish,,1520003,7/20/2018
191,Silence,Marshmello,,1511930,7/20/2018
192,Body Like A Back Road,Sam Hunt,,1507163,7/20/2018
193,I Don't Wanna Do This Anymore,XXXTENTACION,,1507054,7/20/2018
194,One Number Away,Luke Combs,,1503186,7/20/2018
195,Carry On,XXXTENTACION,,1493922,7/20/2018
196,The Way Life Goes ,Lil Uzi Vert,Oh Wonder,1492396,7/20/2018
197,Closer,The Chainsmokers,,1491556,7/20/2018
198,I Get The Bag ,Gucci Mane,Migos,1469642,7/20/2018
199,Chun-Li,Nicki Minaj,,1469135,7/20/2018
200,rockstar,Post Malone,,15268097,11/10/2017
201,Gucci Gang,Lil Pump,,9239147,11/10/2017
202,Too Good At Goodbyes,Sam Smith,,8138285,11/10/2017
203,Havana,Camila Cabello,,8017572,11/10/2017
204,I Fall Apart,Post Malone,,7851950,11/10/2017
205,Bank Account,21 Savage,,6675162,11/10/2017
206,1-800-273-8255,Logic,,6561384,11/10/2017
207,Ghostface Killers,21 Savage,,6006967,11/10/2017
208,What Lovers Do ,Maroon 5,SZA,5972391,11/10/2017
209,Ric Flair Drip,"Offset, Metro Boomin",,5872487,11/10/2017
210,MotorSport,Migos,,5864166,11/10/2017
211,Young Dumb & Broke,Khalid,,5610478,11/10/2017
212,No Limit,G-Eazy,,5597102,11/10/2017
213,Wolves,Selena Gomez,,5571219,11/10/2017
214,Bodak Yellow,Cardi B,,5505005,11/10/2017
215,XO TOUR Llif3,Lil Uzi Vert,,5503022,11/10/2017
216,I Get The Bag ,Gucci Mane,Migos,5165125,11/10/2017
217,Plain Jane,A$AP Ferg,,5136705,11/10/2017
218,Let You Down,NF,,5112123,11/10/2017
219,New Rules,Dua Lipa,,4888191,11/10/2017
220,Congratulations,Post Malone,,4831799,11/10/2017
221,Sorry Not Sorry,Demi Lovato,,4779454,11/10/2017
222,Perfect,Ed Sheeran,,4776109,11/10/2017
223,Silence,Marshmello,,4742766,11/10/2017
224,Candy Paint,Post Malone,,4579008,11/10/2017
225,Call It What You Want,Taylor Swift,,4416506,11/10/2017
226,The Way Life Goes ,Lil Uzi Vert,Oh Wonder,4396053,11/10/2017
227,Bad At Love,Halsey,,4312258,11/10/2017
228,Feel It Still,Portugal. The Man,,4261794,11/10/2017
229,HUMBLE.,Kendrick Lamar,,4251881,11/10/2017
230,Let Me Go,"Hailee Steinfeld, Alesso",,4178382,11/10/2017
231,Jocelyn Flores,XXXTENTACION,,4106628,11/10/2017
232,Pray,Sam Smith,,4102723,11/10/2017
233,Unforgettable,French Montana,,4091439,11/10/2017
234,BUTTERFLY EFFECT,Travis Scott,,4057147,11/10/2017
235,Roll In Peace ,Kodak Black,XXXTENTACION,3931671,11/10/2017
236,Meant to Be,"Bebe Rexha, Florida Georgia Line",Florida Georgia Line,3862750,11/10/2017
237,goosebumps,Travis Scott,,3770348,11/10/2017
238,How Long,Charlie Puth,,3602120,11/10/2017
239,Fuck Love ,XXXTENTACION,Trippie Redd,3475929,11/10/2017
240,Location,Khalid,,3456869,11/10/2017
241,Drowning ,A Boogie Wit da Hoodie,Kodak Black,3427493,11/10/2017
242,Rake It Up,Yo Gotti,,3421705,11/10/2017
243,Dusk Till Dawn,ZAYN,,3410235,11/10/2017
244,Slippery ,Migos,Gucci Mane,3343364,11/10/2017
245,Thunder,Imagine Dragons,,3338201,11/10/2017
246,Go Flex,Post Malone,,3190266,11/10/2017
247,Rap Saved Me,21 Savage,,3071292,11/10/2017
248,My Choppa Hate Niggas,21 Savage,,2952469,11/10/2017
249,The Race,Tay-K,,2927575,11/10/2017
250,Stargazing,Kygo,,2925406,11/10/2017
251,Glorious ,Macklemore,Skylar Grey,2879422,11/10/2017
252,Wait,Maroon 5,,2861560,11/10/2017
253,LOVE.,Kendrick Lamar,,2770045,11/10/2017
254,Sauce It Up,Lil Uzi Vert,,2733797,11/10/2017
255,Transportin',Kodak Black,,2616786,11/10/2017
256,Burning,Sam Smith,,2572518,11/10/2017
257,Believer,Imagine Dragons,,2562657,11/10/2017
258,Look What You Made Me Do,Taylor Swift,,2485035,11/10/2017
259,Magnolia,Playboi Carti,,2469072,11/10/2017
260,Homemade Dynamite,Lorde,,2465569,11/10/2017
261,Mi Gente,J Balvin,,2459157,11/10/2017
262,Lemon,N.E.R.D,,2450165,11/10/2017
263,Betrayed,Lil Xan,,2439863,11/10/2017
264,Pull Up N Wreck,"Big Sean, Metro Boomin",,2434497,11/10/2017
265,Love Galore ,SZA,Travis Scott,2427651,11/10/2017
266,DNA.,Kendrick Lamar,,2427127,11/10/2017
267,Relationship ,Young Thug,Future,2385870,11/10/2017
268,Attention,Charlie Puth,,2381360,11/10/2017
269,I Miss You ,Clean Bandit,Julia Michaels,2380534,11/10/2017
270,White Iverson,Post Malone,,2344253,11/10/2017
271,Mi Gente ,J Balvin,Beyoncé,2340096,11/10/2017
272,Say It First,Sam Smith,,2322592,11/10/2017
273,Nothing Left For You,Sam Smith,,2315731,11/10/2017
274,Rubbin Off The Paint,YBN Nahmir,,2315321,11/10/2017
275,It's A Vibe,2 Chainz,,2306931,11/10/2017
276,Redbone,Childish Gambino,,2303026,11/10/2017
277,Body Like A Back Road,Sam Hunt,,2290688,11/10/2017
278,Questions,Chris Brown,,2285619,11/10/2017
279,Shape of You,Ed Sheeran,,2249686,11/10/2017
280,...Ready For It?,Taylor Swift,,2240488,11/10/2017
281,Good Old Days ,Macklemore,Kesha,2230193,11/10/2017
282,wokeuplikethis*,Playboi Carti,,2219107,11/10/2017
283,One Last Song,Sam Smith,,2200162,11/10/2017
284,Mask Off,Future,,2198443,11/10/2017
285,Losin Control,Russ,,2195282,11/10/2017
286,Pills & Automobiles ,Chris Brown,"Yo Gotti, A Boogie Wit Da Hoodie, Kodak Black",2175803,11/10/2017
287,Gorgeous,Taylor Swift,,2175715,11/10/2017
288,Feels Great ,Cheat Codes,"Fetty Wap, CVBZ",2171925,11/10/2017
289,Slow Hands,Niall Horan,,2162486,11/10/2017
290,Disrespectful,21 Savage,,2124535,11/10/2017
291,Everybody Dies In Their Nightmares,XXXTENTACION,,2117408,11/10/2017
292,Despacito,Luis Fonsi,,2105784,11/10/2017
293,Nightmare,"Offset, Metro Boomin",,2090847,11/10/2017
294,Patek Water,Future,,2082853,11/10/2017
295,do re mi ,blackbear,Gucci Mane,2071609,11/10/2017
296,What Ifs,Kane Brown,,2067507,11/10/2017
297,The Way Life Goes ,Lil Uzi Vert,"Nicki Minaj, Oh Wonder",2063813,11/10/2017
298,New Freezer ,Rich The Kid,Kendrick Lamar,2053584,11/10/2017
299,Mad Stalkers,21 Savage,,2010320,11/10/2017
300,Strip That Down,Liam Payne,,2009334,11/10/2017
301,Midnight Train,Sam Smith,,2006156,11/10/2017
302,No Peace,Sam Smith,,1956723,11/10/2017
303,Say You Won't Let Go,James Arthur,,1943848,11/10/2017
304,I'm the One ,DJ Khaled,"Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",1940953,11/10/2017
305,HIM,Sam Smith,,1930487,11/10/2017
306,Praying,Kesha,,1923179,11/10/2017
307,Lonely Together ,Avicii,Rita Ora,1920002,11/10/2017
308,Sky Walker ,Miguel,Travis Scott,1898745,11/10/2017
309,Unforgettable,Thomas Rhett,,1898190,11/10/2017
310,Wild Thoughts ,DJ Khaled,"Rihanna, Bryson Tiller",1876666,11/10/2017
311,Too Much To Ask,Niall Horan,,1874724,11/10/2017
312,New,Daya,,1871532,11/10/2017
313,iSpy ,KYLE,Lil Yachty,1868824,11/10/2017
314,What About Us,P!nk,,1864511,11/10/2017
315,Tunnel Vision,Kodak Black,,1863988,11/10/2017
316,"Baby, You Make Me Crazy",Sam Smith,,1855874,11/10/2017
317,LOYALTY.,Kendrick Lamar,,1836313,11/10/2017
318,Bounce Back,Big Sean,,1823973,11/10/2017
319,Bad and Boujee ,Migos,Lil Uzi Vert,1822605,11/10/2017
320,I Like Me Better,Lauv,,1815569,11/10/2017
321,Perplexing Pegasus,Rae Sremmurd,,1795905,11/10/2017
322,T-Shirt,Migos,,1767992,11/10/2017
323,That's What I Like,Bruno Mars,,1755279,11/10/2017
324,beibs in the trap,Travis Scott,,1742854,11/10/2017
325,Bedroom Floor,Liam Payne,,1729145,11/10/2017
326,PICK IT UP ,Famous Dex,A$AP Rocky,1725310,11/10/2017
327,Boss,Lil Pump,,1724771,11/10/2017
328,Look At Me!,XXXTENTACION,,1705053,11/10/2017
329,The Weekend,SZA,,1692820,11/10/2017
330,There's Nothing Holdin' Me Back,Shawn Mendes,,1666101,11/10/2017
331,Passionfruit,Drake,,1650564,11/10/2017
332,do re mi,blackbear,,1612031,11/10/2017
333,Crew ,GoldLink,"Brent Faiyaz, Shy Glizzy",1611628,11/10/2017
334,Friends ,"Justin Bieber, BloodPop",,1611363,11/10/2017
335,X ,21 Savage,Future,1605483,11/10/2017
336,No Role Modelz,J. Cole,,1601897,11/10/2017
337,Curve ,Gucci Mane,The Weeknd,1601334,11/10/2017
338,Palace,Sam Smith,,1595272,11/10/2017
339,A Different Way ,"DJ Snake, Lauv, Lauv",,1591351,11/10/2017
340,The Thrill Of It All,Sam Smith,,1562349,11/10/2017
341,Swang,Rae Sremmurd,,1557653,11/10/2017
342,Scars,Sam Smith,,1556721,11/10/2017
343,Now Or Never,Halsey,,1535394,11/10/2017
344,Run Up the Racks,21 Savage,,1531667,11/10/2017
345,PRBLMS,6LACK,,1531035,11/10/2017
346,When It Rains It Pours,Luke Combs,,1525668,11/10/2017
347,No Option,Post Malone,,1522037,11/10/2017
348,First Day Out,Tee Grizzley,,1516044,11/10/2017
349,4:00 AM,2 Chainz,,1510706,11/10/2017
350,Starboy,The Weeknd,,1494957,11/10/2017
351,Undefeated,A Boogie Wit da Hoodie,21 Savage,1491630,11/10/2017
352,Money Longer,Lil Uzi Vert,,1486040,11/10/2017
353,Something Just Like This,"The Chainsmokers, Coldplay",,1482877,11/10/2017
354,Heartache On The Dance Floor,Jon Pardi,,1480049,11/10/2017
355,Closer,The Chainsmokers,,1479309,11/10/2017
356,Still Serving,21 Savage,,1476892,11/10/2017
357,I Don't Wanna Live Forever,"Zayn, Taylor Swift",,1464756,11/10/2017
358,Myself,NAV,,1463228,11/10/2017
359,Kids in Love ,Kygo,The Night Game,1461880,11/10/2017
360,Caroline,Amine,,1453895,11/10/2017
361,Portland,Drake,,1447986,11/10/2017
362,Reggaetón Lento (Remix),CNCO,,1441309,11/10/2017
363,Broccoli ,DRAM,Lil Yachty,1436436,11/10/2017
364,Ex Calling,6LACK,,1433302,11/10/2017
365,What They Want,Russ,,1432291,11/10/2017
366,Say A',A Boogie Wit da Hoodie,,1429460,11/10/2017
367,From The D To The A ,Tee Grizzley,Lil Yachty,1416363,11/10/2017
368,D Rose,Lil Pump,,1416131,11/10/2017
369,Feed Me Dope,Future,,1415494,11/10/2017
370,Feels,Calvin Harris,,1410106,11/10/2017
371,Darth Vader,21 Savage,,1408583,11/10/2017
372,No Complaints,Metro Boomin,,1402845,11/10/2017
373,Fake Love,Drake,,1397687,11/10/2017
374,One Day At A Time,Sam Smith,,1393947,11/10/2017
375,Don't,Bryson Tiller,,1391117,11/10/2017
376,In Case You Didn't Know,Brett Young,,1386926,11/10/2017
377,Stay ,"Zedd, Alessia Cara",,1386064,11/10/2017
378,Both ,Gucci Mane,Drake,1385775,11/10/2017
379,Exchange,Bryson Tiller,,1385694,11/10/2017
380,Craving You,Thomas Rhett,,1379308,11/10/2017
381,Issues,Julia Michaels,,1368602,11/10/2017
382,Everyday We Lit ,YFN Lucci,PnB Rock,1367500,11/10/2017
383,pick up the phone,"Young Thug, Travis Scott",,1366351,11/10/2017
384,Losing Sleep,Chris Young,,1363387,11/10/2017
385,Again,Noah Cyrus,,1357531,11/10/2017
386,Love Scars,Trippie Redd,,1354606,11/10/2017
387,Small Town Boy,Dustin Lynch,,1351359,11/10/2017
388,Greatest Love Story,LANCO,,1343063,11/10/2017
389,Flex Like Ouu,Lil Pump,,1341244,11/10/2017
390,No Problem ,Chance the Rapper,"Lil Wayne, 2 Chainz",1340924,11/10/2017
391,Saved,Khalid,,1339286,11/10/2017
392,No Promises,Cheat Codes,Demi Lovato,1333373,11/10/2017
393,8TEEN,Khalid,,1329710,11/10/2017
394,Most Girls,Hailee Steinfeld,,1327809,11/10/2017
395,Easy Love,Lauv,,1317164,11/10/2017
396,Love U Better ,Ty Dolla $ign,"Lil Wayne, The-Dream",1312493,11/10/2017
397,Die For You,The Weeknd,,1307710,11/10/2017
398,Horses ,"PnB Rock, PnB Rock, Kodak Black, A Boogie Wit da Hoodie, PnB Rock, Kodak Black, A Boogie Wit da Hoodie",,1307206,11/10/2017
399,Bank Account,21 Savage,,8301827,8/25/2017
400,Unforgettable,French Montana,,7576557,8/25/2017
401,XO TOUR Llif3,Lil Uzi Vert,,7485131,8/25/2017
402,Friends ,"Justin Bieber, BloodPop",,6659321,8/25/2017
403,Bodak Yellow,Cardi B,,6513115,8/25/2017
404,Wild Thoughts ,DJ Khaled,"Rihanna, Bryson Tiller",6389498,8/25/2017
405,Despacito,Luis Fonsi,,6043987,8/25/2017
406,HUMBLE.,Kendrick Lamar,,6017924,8/25/2017
407,Sorry Not Sorry,Demi Lovato,,5765110,8/25/2017
408,Young Dumb & Broke,Khalid,,5597303,8/25/2017
409,Mi Gente,J Balvin,,5552505,8/25/2017
410,Silence,Marshmello,,5276220,8/25/2017
411,I'm the One ,DJ Khaled,"Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",5237680,8/25/2017
412,BUTTERFLY EFFECT,Travis Scott,,5224118,8/25/2017
413,Congratulations,Post Malone,,5185408,8/25/2017
414,1-800-273-8255,Logic,,5115286,8/25/2017
415,Feels,Calvin Harris,,4927435,8/25/2017
416,Strip That Down,Liam Payne,,4844877,8/25/2017
417,Location,Khalid,,4470437,8/25/2017
418,Feel It Still,Portugal. The Man,,4399374,8/25/2017
419,Attention,Charlie Puth,,4236220,8/25/2017
420,Havana,Camila Cabello,,4172544,8/25/2017
421,Praying,Kesha,,4098050,8/25/2017
422,Love Galore ,SZA,Travis Scott,4066925,8/25/2017
423,Slippery ,Migos,Gucci Mane,4032481,8/25/2017
424,Redbone,Childish Gambino,,4002733,8/25/2017
425,New Rules,Dua Lipa,,3992920,8/25/2017
426,Back to You ,Louis Tomlinson,"Bebe Rexha, Digital Farm Animals",3964157,8/25/2017
427,Magnolia,Playboi Carti,,3917163,8/25/2017
428,Believer,Imagine Dragons,,3849744,8/25/2017
429,goosebumps,Travis Scott,,3848449,8/25/2017
430,DNA.,Kendrick Lamar,,3810500,8/25/2017
431,Rake It Up,Yo Gotti,,3651445,8/25/2017
432,Glorious ,Macklemore,Skylar Grey,3642746,8/25/2017
433,I Get The Bag ,Gucci Mane,Migos,3592899,8/25/2017
434,Body Like A Back Road,Sam Hunt,,3559469,8/25/2017
435,Slow Hands,Niall Horan,,3517011,8/25/2017
436,Thunder,Imagine Dragons,,3463243,8/25/2017
437,I Like Me Better,Lauv,,3446024,8/25/2017
438,2U ,David Guetta,Justin Bieber,3383742,8/25/2017
439,Mask Off,Future,,3371962,8/25/2017
440,Fetish ,Selena Gomez,Gucci Mane,3349387,8/25/2017
441,It's A Vibe,2 Chainz,,3332290,8/25/2017
442,There's Nothing Holdin' Me Back,Shawn Mendes,,3292079,8/25/2017
443,LOYALTY.,Kendrick Lamar,,3240538,8/25/2017
444,Drowning ,A Boogie Wit da Hoodie,Kodak Black,3201716,8/25/2017
445,That's What I Like,Bruno Mars,,3190198,8/25/2017
446,Perplexing Pegasus,Rae Sremmurd,,3173299,8/25/2017
447,LOVE.,Kendrick Lamar,,3169821,8/25/2017
448,Shape of You,Ed Sheeran,,3058291,8/25/2017
449,Slide,Calvin Harris,,2826887,8/25/2017
450,Would You Ever,Skrillex,,2693488,8/25/2017
451,4:00 AM,2 Chainz,,2660105,8/25/2017
452,Lonely Together ,Avicii,Rita Ora,2600029,8/25/2017
453,Signs,Drake,,2549049,8/25/2017
454,Roll In Peace ,Kodak Black,XXXTENTACION,2494133,8/25/2017
455,iSpy ,KYLE,Lil Yachty,2420067,8/25/2017
456,Unforgettable,Thomas Rhett,,2410441,8/25/2017
457,Stay ,"Zedd, Alessia Cara",,2345171,8/25/2017
458,Passionfruit,Drake,,2318021,8/25/2017
459,No Complaints,Metro Boomin,,2297746,8/25/2017
460,Without You ,Avicii,Sandro Cavazza,2216483,8/25/2017
461,OMG,Camila Cabello,,2198635,8/25/2017
